row_id,user,path,operation,decision
R0001,tmagnusson,/export/hr/people/metrics4.txt,readwrite,DENY
R0002,jkovanen,/export/legal/contracts/summary5.ini,read,DENY
R0003,psoltani,/export/data/models/playbook3.rst,read,DENY
R0004,ncardona,/export/projects/borealis/shared/review8.tsv,read,PERMIT
R0005,zpellerin,/export/releases/v42/workplan5.ini,modify,PERMIT
R0006,jkovanen,/export/eng/specs/metrics.txt,modify,DENY
R0007,wnakato,/export/releases/v41/baseline5.json,read,DENY
R0008,kwainai,/export/finance/reports/workplan8.ini,read,DENY
R0009,hkeitel,/export/ops,create,DENY
R0010,aharlow,/export/projects/atlas/shared/manifest7.csv,read,DENY
R0011,ltakagi,/export/legal/contracts/summary5.ini,readwrite,PERMIT
R0012,nvaldez,/export/common/allhands/digest6.csv,modify,PERMIT
R0013,gveras,/export/projects/borealis/inventory8.ini,modify,DENY
R0014,dvirtanen,/export/eng/src/budget.csv,readwrite,DENY
R0015,pdhawan,/export/common/allhands/roster6.md,readwrite,PERMIT
R0016,smadsen,/export/projects/atlas/postmortem7.tsv,readwrite,PERMIT
R0017,gmarchetti,/export/releases/v41/capacity5.rst,read,DENY
R0018,psoltani,/export/finance/reports/workplan8.ini,read,DENY
R0019,tsairas,/export/common/brand/metrics6.txt,readwrite,PERMIT
R0020,aharlow,/export/projects/atlas/shared/baseline7.json,readwrite,DENY
R0021,tnorgaard,/export/platform/infra/review2.tsv,modify,DENY
R0022,rdelacroix,/export/common/brand/matrix7.yaml,readwrite,DENY
R0023,speixoto,/export/releases/runcard5.json,read,DENY
R0024,jkovanen,/export/finance/reports/capacity8.rst,modify,DENY
R0025,jkovanen,/export/eng/tools/roster.md,read,DENY
R0026,lfarkas,/export/common/allhands/roster6.md,readwrite,PERMIT
R0027,azhukova,/export/releases/v41/baseline5.json,readwrite,DENY
R0028,smadsen,/export/finance/matrix4.yaml,readwrite,DENY
R0029,gmarchetti,/export/projects/atlas/shared/digest7.csv,readwrite,DENY
R0030,yfontaine,/export/data/models,list,DENY
R0031,xberrio,/export/eng/src/digest.csv,readwrite,DENY
R0032,tsairas,/export/common/capacity6.rst,readwrite,PERMIT
R0033,rdelacroix,/export/archive/review6.tsv,modify,DENY
R0034,ltakagi,/export/ops/runbooks/workplan1.ini,modify,DENY
R0035,rdelacroix,/export/projects/atlas/metrics7.txt,readwrite,DENY
R0036,vtremblay,/export/projects/atlas/review7.tsv,readwrite,DENY
R0037,speixoto,/export/releases/postmortem5.tsv,read,DENY
R0038,psoltani,/export/data/feeds/capacity3.rst,readwrite,DENY
R0039,zpellerin,/export/releases/roster5.md,read,PERMIT
R0040,jkovanen,/export/projects/atlas/shared/workplan7.ini,modify,DENY
R0041,pdhawan,/export/projects/borealis/shared/rollout8.yaml,modify,PERMIT
R0042,azhukova,/export/legal,create,PERMIT
R0043,warchibald,/export/hr/exports/summary9.ini,modify,DENY
R0044,mbelmonte,/export/data/feeds/baseline3.json,read,DENY
R0045,pdhawan,/export/ops/scripts/pipeline2.json,read,DENY
R0046,mokafor,/export/common/allhands/roster6.md,readwrite,PERMIT
R0047,psoltani,/export/data/feeds/budget3.csv,read,PERMIT
R0048,cjivraj,/export/ops/runbooks/workplan1.ini,readwrite,PERMIT
R0049,tmagnusson,/export/finance/budget4.csv,read,DENY
R0050,uossola,/export/finance/reports/postmortem8.tsv,read,DENY
R0051,mreiner,/export/common/allhands/notes7.tsv,read,PERMIT
R0052,lfarkas,/export/projects/atlas/shared/inventory7.ini,modify,PERMIT
R0053,jhalloran,/export/finance/reports/forecast8.yaml,read,DENY
R0054,tsairas,/export/projects/atlas/shared/inventory7.ini,readwrite,PERMIT
R0055,aharlow,/export/projects/atlas/shared/capacity7.rst,read,DENY
R0056,kcasal,/export/eng/src/capacity.rst,modify,DENY
R0057,ryamanaka,/export/finance/reports/baseline8.json,readwrite,PERMIT
R0058,kwainai,/export/releases/v41/ledger5.md,readwrite,DENY
R0059,ltakagi,/export/hr/exports/manifest8.csv,read,DENY
R0060,hkeitel,/export/common/draft7.rst,modify,DENY
R0061,dcoppola,/export/hr/exports/summary9.ini,readwrite,PERMIT
R0062,fdrummond,/export/eng/specs/metrics.txt,read,PERMIT
R0063,lgrieve,/export/qa/plans/matrix1.yaml,readwrite,DENY
R0064,tnorgaard,/export/platform/inventory2.ini,readwrite,DENY
R0065,xberrio,/export/releases/digest5.csv,modify,DENY
R0066,tsairas,/export/platform/images/metrics2.txt,read,DENY
R0067,hkeitel,/export/qa/plans/summary1.ini,readwrite,DENY
R0068,speixoto,/export/releases/v42/workplan5.ini,read,DENY
R0069,tmagnusson,/export/common/brand/summary7.ini,readwrite,DENY
R0070,edanailov,/export/archive/cold/notes6.tsv,read,PERMIT
R0071,nvaldez,/export/common/brand/matrix7.yaml,modify,PERMIT
R0072,mreiner,/export/qa/results/notes1.tsv,read,DENY
R0073,tnorgaard,/export/platform/infra/baseline2.json,read,DENY
R0074,obrennan,/export/finance/budget4.csv,readwrite,PERMIT
R0075,mbelmonte,/export/finance/reports/forecast8.yaml,read,DENY
R0076,speixoto,/export/common/allhands/notes7.tsv,read,PERMIT
R0077,nvaldez,/export/common/allhands,list,PERMIT
R0078,warchibald,/export/projects,list,PERMIT
R0079,jkovanen,/export/platform/digest2.csv,readwrite,DENY
R0080,qfarrow,/export/common/capacity6.rst,readwrite,DENY
R0081,dvirtanen,/export/common/capacity6.rst,readwrite,PERMIT
R0082,cnwosu,/export/qa/results,create,DENY
R0083,warchibald,/export/common/brand/summary7.ini,readwrite,PERMIT
R0084,edanailov,/export/ops/topology1.txt,read,DENY
R0085,rdelacroix,/export/finance/reports/capacity8.rst,readwrite,DENY
R0086,mbelmonte,/export/data/handover3.txt,read,DENY
R0087,lgrieve,/export/projects/atlas/shared/baseline7.json,modify,PERMIT
R0088,vtremblay,/export/common/brand/forecast6.yaml,readwrite,DENY
R0089,speixoto,/export/platform/images/workplan2.ini,read,DENY
R0090,speixoto,/export/releases/v41/topology5.txt,read,DENY
R0091,rkellett,/export/common/allhands/pipeline7.json,readwrite,PERMIT
R0092,rkellett,/export/qa/plans/review1.tsv,readwrite,PERMIT
R0093,mreiner,/export/common/allhands/notes7.tsv,readwrite,PERMIT
R0094,pdhawan,/export/eng/runcard.json,readwrite,PERMIT
R0095,dvirtanen,/export/projects/atlas/rollout7.yaml,read,PERMIT
R0096,speixoto,/export/platform/inventory2.ini,modify,PERMIT
R0097,kcasal,/export/eng/specs/handover.txt,readwrite,PERMIT
R0098,speixoto,/export/platform/infra/baseline2.json,read,PERMIT
R0099,mbelmonte,/export/data/feeds,list,PERMIT
R0100,psoltani,/export/finance/reports/postmortem8.tsv,read,DENY
R0101,speixoto,/export/platform/runcard2.json,read,PERMIT
R0102,tmagnusson,/export/common/brand/manifest6.csv,readwrite,PERMIT
R0103,jkovanen,/export/releases/v41/ledger5.md,readwrite,PERMIT
R0104,jkovanen,/export/eng/src/manifest.csv,readwrite,PERMIT
R0105,rdelacroix,/export/projects/atlas/forecast7.yaml,readwrite,PERMIT
R0106,cjivraj,/export/common/ledger6.md,readwrite,PERMIT
R0107,jkovanen,/export/projects/atlas/rollout7.yaml,read,PERMIT
R0108,mbelmonte,/export/finance/reports/baseline8.json,read,DENY
R0109,cnwosu,/export/archive/vault/rollout6.yaml,readwrite,DENY
R0110,mbelmonte,/export/finance/reports/capacity8.rst,read,DENY
R0111,jkovanen,/export/eng/tools,create,PERMIT
R0112,tnorgaard,/export/platform/infra/topology2.txt,readwrite,PERMIT
R0113,wnakato,/export/qa/plans/summary1.ini,modify,DENY
R0114,tnorgaard,/export/platform/infra/capacity2.rst,readwrite,PERMIT
R0115,aharlow,/export/projects/atlas/checklist7.md,modify,PERMIT
R0116,nvaldez,/export/common/allhands/digest6.csv,readwrite,PERMIT
R0117,obrennan,/export/hr/exports/runcard8.json,read,DENY
R0118,speixoto,/export/common/topology6.txt,read,PERMIT
R0119,lfarkas,/export/common/brand/metrics6.txt,readwrite,PERMIT
R0120,speixoto,/export/platform/images/metrics2.txt,read,PERMIT
R0121,psoltani,/export/finance/reports/ledger8.md,read,DENY
R0122,lgrieve,/export/common/allhands/roster6.md,readwrite,PERMIT
R0123,mbelmonte,/export/data/models/pipeline3.json,read,PERMIT
R0124,kcasal,/export/eng/runcard.json,read,PERMIT
R0125,cnwosu,/export/common/brand/manifest6.csv,readwrite,PERMIT
R0126,dvirtanen,/export/common/brand/metrics6.txt,readwrite,PERMIT
R0127,kcasal,/export/eng/tools/ledger.md,read,PERMIT
R0128,nvaldez,/export/projects/atlas/shared/inventory7.ini,readwrite,PERMIT
R0129,uossola,/export/finance/reports/forecast8.yaml,read,DENY
R0130,hkeitel,/export/common/brand/budget7.csv,readwrite,PERMIT
R0131,aharlow,/export/projects/atlas/shared/inventory7.ini,read,PERMIT
R0132,psoltani,/export/data/feeds/matrix3.yaml,modify,PERMIT
R0133,mbelmonte,/export/data/models,create,PERMIT
R0134,jkovanen,/export/common/allhands/pipeline7.json,readwrite,PERMIT
R0135,tsairas,/export/hr/ledger4.md,readwrite,DENY
R0136,gveras,/export/platform,list,PERMIT
R0137,ltakagi,/export/legal/inventory5.ini,readwrite,PERMIT
R0138,mbelmonte,/export/data/inventory3.ini,readwrite,PERMIT
R0139,dvirtanen,/export/projects/atlas/topology7.txt,read,PERMIT
R0140,jkovanen,/export/releases/v42/metrics5.txt,read,PERMIT
R0141,dvirtanen,/export/eng/specs/topology.txt,modify,PERMIT
R0142,jhalloran,/export/ops/scripts/postmortem1.tsv,read,DENY
R0143,cnwosu,/export/releases/rollout5.yaml,readwrite,DENY
R0144,azhukova,/export/archive/matrix6.yaml,read,DENY
R0145,jkovanen,/export/releases/v41,list,PERMIT
R0146,speixoto,/export/releases/v41/briefing5.ini,modify,PERMIT
R0147,psoltani,/export/data/inventory3.ini,modify,PERMIT
R0148,jhalloran,/export/finance/reports/baseline8.json,read,DENY
R0149,speixoto,/export/releases/v41,create,PERMIT
R0150,wnakato,/export/common/draft7.rst,readwrite,PERMIT
R0151,rdelacroix,/export/projects/atlas/shared/capacity7.rst,readwrite,PERMIT
R0152,rkellett,/export/releases/roster5.md,read,PERMIT
R0153,obrennan,/export/common/draft7.rst,readwrite,PERMIT
R0154,bsalter,/export/common/allhands/notes7.tsv,readwrite,PERMIT
R0155,mokafor,/export/finance/summary4.ini,readwrite,DENY
R0156,tnorgaard,/export/platform/rollout2.yaml,read,PERMIT
R0157,tmagnusson,/export/common/draft7.rst,read,PERMIT
R0158,kcasal,/export/common/brand/matrix7.yaml,readwrite,PERMIT
R0159,speixoto,/export/platform/infra/review2.tsv,readwrite,PERMIT
R0160,lfarkas,/export/common/brand/matrix7.yaml,readwrite,PERMIT
R0161,psoltani,/export/data/feeds/capacity3.rst,modify,PERMIT
R0162,uossola,/export/common/allhands/runcard6.json,readwrite,PERMIT
R0163,jhalloran,/export/data/feeds/capacity3.rst,modify,PERMIT
R0164,uossola,/export/finance/reports/baseline8.json,read,DENY
R0165,yfontaine,/export/projects/atlas/shared/inventory7.ini,read,DENY
R0166,jhalloran,/export/finance/reports/capacity8.rst,read,DENY
R0167,vtremblay,/export/common/capacity6.rst,readwrite,PERMIT
R0168,psoltani,/export/data/inventory3.ini,readwrite,PERMIT
R0169,speixoto,/export/releases/v41/baseline5.json,read,PERMIT
R0170,jkovanen,/export/releases/postmortem5.tsv,read,PERMIT
R0171,kcasal,/export/projects/atlas/review7.tsv,read,PERMIT
R0172,tnorgaard,/export/platform/images/workplan2.ini,read,PERMIT
R0173,psoltani,/export/data/feeds/summary3.ini,readwrite,PERMIT
R0174,speixoto,/export/platform/roster2.md,read,PERMIT
R0175,uossola,/export/common/brand/manifest6.csv,read,PERMIT
R0176,xberrio,/export/common/draft7.rst,readwrite,PERMIT
R0177,edanailov,/export/common/brand/budget7.csv,readwrite,PERMIT
R0178,tmagnusson,/export/releases/v41/baseline5.json,readwrite,PERMIT
R0179,dcoppola,/export/common/allhands/notes7.tsv,readwrite,PERMIT
R0180,rdelacroix,/export/releases/v42/forecast5.yaml,readwrite,PERMIT
R0181,dvirtanen,/export/projects/atlas/topology7.txt,modify,PERMIT
R0182,evasquez,/export/hr/exports/runcard8.json,read,DENY
R0183,speixoto,/export/releases/digest5.csv,modify,PERMIT
R0184,kcasal,/export/eng/specs/topology.txt,readwrite,PERMIT
R0185,rkellett,/export/qa/results/playbook1.rst,modify,PERMIT
R0186,mreiner,/export/common/brand/budget7.csv,readwrite,PERMIT
R0187,kcasal,/export/eng/specs/notes.tsv,read,PERMIT
R0188,jkovanen,/export/releases/v41/briefing5.ini,readwrite,PERMIT
R0189,psoltani,/export/data/feeds/baseline3.json,readwrite,PERMIT
R0190,mreiner,/export/common/topology6.txt,readwrite,PERMIT
R0191,warchibald,/export/common/allhands/pipeline7.json,readwrite,PERMIT
R0192,tsairas,/export/common/allhands/roster6.md,readwrite,PERMIT
R0193,ltakagi,/export/hr/exports/runcard8.json,read,DENY
R0194,pdhawan,/export/common/capacity6.rst,readwrite,PERMIT
R0195,aharlow,/export/finance/matrix4.yaml,modify,DENY
R0196,evasquez,/export/hr/exports/summary9.ini,read,DENY
R0197,speixoto,/export/platform/roster2.md,modify,PERMIT
R0198,ryamanaka,/export/hr/exports/topology8.txt,read,DENY
R0199,kcasal,/export/eng/src/draft.rst,read,PERMIT
R0200,rkellett,/export/releases/v41/topology5.txt,read,PERMIT
R0201,vtremblay,/export/common/allhands/roster6.md,read,PERMIT
R0202,jkovanen,/export/common/brand/matrix7.yaml,readwrite,PERMIT
R0203,aharlow,/export/common/baseline6.json,read,PERMIT
R0204,uossola,/export/finance/reports/digest8.csv,read,DENY
R0205,tmagnusson,/export/common/handover7.txt,readwrite,PERMIT
R0206,kwainai,/export/common/brand/forecast6.yaml,read,PERMIT
R0207,dvirtanen,/export/eng/specs/metrics.txt,readwrite,PERMIT
R0208,rdelacroix,/export/releases/v41/briefing5.ini,read,PERMIT
R0209,xberrio,/export/common/brand/manifest6.csv,readwrite,PERMIT
R0210,pdhawan,/export/eng/src/draft.rst,readwrite,PERMIT
R0211,uossola,/export/archive/cold/playbook6.rst,readwrite,PERMIT
R0212,dvirtanen,/export/eng/src/capacity.rst,modify,PERMIT
R0213,zpellerin,/export/projects/atlas/postmortem7.tsv,read,PERMIT
R0214,ovillar,/export/legal/contracts,create,DENY
R0215,hkeitel,/export/hr/exports/briefing8.ini,read,DENY
R0216,dcoppola,/export/hr/exports/briefing8.ini,read,PERMIT
R0217,jkovanen,/export/releases/v41/ledger5.md,modify,PERMIT
R0218,dvirtanen,/export/eng/src/manifest.csv,modify,PERMIT
R0219,kcasal,/export/eng/tools/matrix.yaml,readwrite,PERMIT
R0220,mbelmonte,/export/data/models/playbook3.rst,read,PERMIT
R0221,tnorgaard,/export/projects,create,DENY
R0222,psoltani,/export/data/models/checklist3.md,read,PERMIT
R0223,kwainai,/export/finance/reports/capacity8.rst,read,DENY
R0224,warchibald,/export/common/ledger6.md,readwrite,PERMIT
R0225,aharlow,/export/projects/atlas/metrics7.txt,modify,PERMIT
R0226,dvirtanen,/export/projects/atlas/postmortem7.tsv,read,PERMIT
R0227,rdelacroix,/export/releases,list,PERMIT
R0228,ltakagi,/export/releases/postmortem5.tsv,modify,DENY
R0229,evasquez,/export/qa,create,DENY
R0230,speixoto,/export/platform/infra/capacity2.rst,modify,PERMIT
R0231,rkellett,/export/common/allhands/runcard6.json,readwrite,PERMIT
R0232,uossola,/export/finance/reports/metrics8.txt,read,DENY
R0233,hbrandt,/export/common/brand/workplan6.ini,readwrite,PERMIT
R0234,mokafor,/export/projects/atlas/ledger7.md,modify,DENY
R0235,aharlow,/export/projects/atlas/shared/digest7.csv,read,PERMIT
R0236,dcoppola,/export/common/briefing6.ini,readwrite,PERMIT
R0237,nvaldez,/export/common/briefing6.ini,modify,PERMIT
R0238,qfarrow,/export/finance/reports/postmortem8.tsv,read,DENY
R0239,speixoto,/export/common/briefing6.ini,readwrite,PERMIT
R0240,dvirtanen,/export/projects/borealis/shared/review8.tsv,readwrite,PERMIT
